상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,1분기매출,2분기매출,3분기매출,4분기매출,분기별매출평균,점포수
1000016,자하문로7길,CS100002,중식음식점,178772415.5,147363803.5,176970362.5,124840903,156986871.1,4.25
1000016,자하문로7길,CS100003,일식음식점,34684623,40450315,45260357.5,53011943.33,43351809.71,3.75
1000016,자하문로7길,CS100005,제과점,4921189,6556867,8178313.667,14837680.43,8623512.524,5.75
1000016,자하문로7길,CS100007,치킨전문점,29800881.5,30040128,29446209,24666073,28488322.88,2
1000016,자하문로7길,CS100008,분식전문점,44333158.86,55615742.13,55711358.56,107007877.4,65667034.24,15
1000016,자하문로7길,CS100009,호프-간이주점,16400874.5,21938649.25,16936564,24664109,19985049.19,3.5
1000016,자하문로7길,CS100010,커피-음료,46200156.38,45404244.17,40559073.95,12604250.4,36191931.22,18.5
1000016,자하문로7길,CS200001,일반교습학원,58636958,36372549,34476767.5,52839394,45581417.13,2
1000016,자하문로7길,CS200005,스포츠 강습,12403703.67,12907407.33,17188889,4470370.333,11742592.58,3
1000016,자하문로7길,CS200016,당구장,5780193,3104098,3783930,2946839,3903765,1
1000016,자하문로7길,CS200028,미용실,18859812,7876177,15723391.6,10198776,13164539.15,4.5
1000016,자하문로7길,CS200037,노래방,9496821.5,14032589,5581249,10491043.5,9900425.75,2
1000016,자하문로7길,CS300001,슈퍼마켓,66604879.43,72446971.14,74743864.29,54217653.57,67003342.11,7
1000016,자하문로7길,CS300011,일반의류,10431868.5,16356651.9,10284458.15,27749191.3,16205542.46,20.75
1000017,종로24길,CS100001,한식음식점,41126872.54,38779267.75,36289908.96,49444731.82,41410195.27,28
1000017,종로24길,CS100002,중식음식점,57339387,45758026.5,46589467,53793654.5,50870133.75,2
1000017,종로24길,CS100008,분식전문점,15456870,28446076,32475842,1001781.5,19345142.38,1.25
1000017,종로24길,CS100009,호프-간이주점,51924635.67,42580638.67,45675411.33,46821694,46750594.92,3
1000017,종로24길,CS100010,커피-음료,18414873,20744584.33,18258700.17,18586864.2,19001255.43,5.75
1000017,종로24길,CS200016,당구장,3695574,2924324,1363460.5,6512146,3623876.125,2
1000017,종로24길,CS300001,슈퍼마켓,22326293.11,33783878.44,26648697.44,29676838.56,28108926.89,9
1000017,종로24길,CS300002,편의점,192486572,241646930,234951709,227068375,224038396.5,1
1000017,종로24길,CS300011,일반의류,1767025.143,2761691,1287027.429,3236909,2263163.143,6.75
1000018,종로58가길,CS100001,한식음식점,84549669,82177139.36,80665783.09,161576878.6,102242367.5,11.25
1000018,종로58가길,CS100002,중식음식점,256295891,252184431,266032583,237812622,253081381.8,1
1000018,종로58가길,CS100005,제과점,39195025,36836539,34771389,48140352,39735826.25,1
1000018,종로58가길,CS100007,치킨전문점,108500093,139666854,130891745,126093534,126288056.5,1
1000018,종로58가길,CS100008,분식전문점,,975487,11182238.5,7505034.667,6554253.389,3.333333333
1000018,종로58가길,CS100009,호프-간이주점,58293748.6,60684832,53443424,54642735,56766184.9,5
1000018,종로58가길,CS100010,커피-음료,26586454.67,13286220.33,27822833.67,24685469.67,23095244.58,3
1000018,종로58가길,CS200016,당구장,6726426,,9351288.667,13325085.67,9800933.444,3
1000018,종로58가길,CS200028,미용실,12000000,12000000,12000000,12000000,12000000,3
1000018,종로58가길,CS300002,편의점,249543488,279885240.4,334850446.8,392635453.5,314228657.2,4.5
1000018,종로58가길,CS300011,일반의류,,,217398.3,4564725.833,2391062.067,11
1000018,종로58가길,CS300022,화장품,12477461,8997065.25,17401979.5,16507711.25,13846054.25,8
1000019,종로65길,CS100001,한식음식점,39041797.17,36896324.17,38869170.09,44075930.82,39720805.56,11.5
1000019,종로65길,CS100002,중식음식점,45793390,44838012,35607875,45959092,43049592.25,1
1000019,종로65길,CS100006,패스트푸드점,18787514.5,19851838.5,19898450.5,18410987,19237197.63,2
1000019,종로65길,CS100007,치킨전문점,65232725.5,65412052,42986173.67,59750861,58345453.04,2.25
1000019,종로65길,CS100008,분식전문점,7712596.4,5618539.8,7102643.6,9100833.2,7383653.25,5
1000019,종로65길,CS100009,호프-간이주점,25275303.43,16957291.71,25602143.57,21424564.14,22314825.71,7
1000019,종로65길,CS100010,커피-음료,76236630.5,109640980.5,119597768.5,89319357.5,98698684.25,2
1000019,종로65길,CS200016,당구장,6059122,2290118,1328125,6086043,3940852,1
1000019,종로65길,CS200028,미용실,6522782.25,8019338,7514064.25,6555696.75,7152970.313,4
1000019,종로65길,CS200037,노래방,25541037.67,23752590,14697241,18492592.67,20620865.33,3
1000019,종로65길,CS300001,슈퍼마켓,860030.8889,889882.4444,1162686.778,1552500.556,1116275.167,9
1000019,종로65길,CS300002,편의점,35880544,174117,61447617.5,66574679.5,41019239.5,2
1000019,종로65길,CS300011,일반의류,944548.7273,1376831.083,785807,,1035728.937,11.66666667
1000020,지봉로8길,CS100001,한식음식점,49194116.75,73589493.92,64555068.75,41766332.5,57276252.98,12
1000020,지봉로8길,CS100007,치킨전문점,13099545,12708442,11372308,11664438,12211183.25,2
